,Synonym,Label,Id,Definition,ExternallySourcedDefinition,Comment,Synonym,Species,PartiallyOverlapsWith,Is part of,Has role,RelatedTo,Category,SuperCategory
:Category:Pons,,Pons,birnlex_733,"The part of the central nervous system lying between the medulla oblongata and the mesencephalon, ventral to the cerebellum, and consisting of a pars dorsalis and a pars ventralis. (MeSH)

 The ventral topographic division of the hindbrain; the dorsal topographic division is the cerebellum. The middle cerebellar peduncle on the periphery of the macrodissected adult human pons (""bridge"" in English) was identified by Varolio (1573, Fig. I, f. 17v; also see Clarke & O'Malley 1996, pp. 634-635, 821). Collins (1685, see Tab. 48-L, his caudex of medulla oblongata) identified the pons as defined here, and Haller (1747, see translation by Mihles, 1754, pp. 287, 296) provided the term itself. Pons Varolii (Bell, 1802) is a synonym.",,,"Metencephalon,Pons Varolii",:Category:Vertebrata,,:Category:Cerebrospinal axis,,":Category:Hindbrain,:Category:Brainstem",:Category:Regional part of brain,Regional part of brain
:Category:Pontine nuclear complex,,Pontine nuclear complex,birnlex_1516,"Nuclei in the basal pons, intermingled among the descending axons from the cortex, that receive neocrotcial input and give rise to many axons that cross the midline to enter the contralateral cerebellum (Butler and Hodos, Comparative Vertebrate Neuroanatomy, 2nd ed., 2005, pg 135)",,,"pontine gray,pontine nuclei,pontine nucleus",:Category:Mammal,,:Category:Basal part of pons,,,:Category:Regional part of brain,Regional part of brain
:Category:Pontine raphe nucleus,,Pontine raphe nucleus,birnlex_1110,,,,,,,":Category:Raphe Nuclei,:Category:Pontine tegmentum",,,:Category:Regional part of brain,Regional part of brain
:Category:Pontine reticular formation,,Pontine reticular formation,birnlex_1050,,,,Pontine reticulotegmental nucleus,,,":Category:Pontine tegmentum,:Category:Reticular formation",,,:Category:Regional part of brain,Regional part of brain
:Category:Pontine tegmentum,,Pontine tegmentum,birnlex_923,"Dorsal portion of the pons, containing cranial nervee nuclei, ascending and descending tracts and reticular nuclei.  It is continuous with the reticular formation of the medulla (Carpenter, A Core Text of Neuroanatomy, 3rd ed, 1985, pg 133).",,,,,,:Category:Pons,,,:Category:Regional part of brain,Regional part of brain
:Category:Pontobulbar nucleus,,Pontobulbar nucleus,birnlex_2656,,,,"pontobulbar body,nucleus of circumolivary bundle",,,:Category:Medulla oblongata,,,:Category:Regional part of brain,Regional part of brain
:Category:Postcentral gyrus,,Postcentral gyrus,birnlex_1070,Component of the parietal lobe.  The appearance and disappearance of the central sulcus were the rostral and caudal boundaries of the postcentral gyrus respectively.  The medial and lateral boundaries were the lateral bank of the precentral gyrus and the lateral fissure and/or the medial bank of the superior parietal gyrus respectively (Christine Fennema-Notestine).,,,,:Category:Human,,:Category:Parietal lobe,,,:Category:Regional part of brain,Regional part of brain
:Category:Postcentral sulcus,,Postcentral sulcus,birnlex_4033,,,,"postcentral fissure of cerebral hemisphere,Sulcus postcentralis,Structure of postcentral sulcus,postcentral fissure-1",:Category:Human,,:Category:Parietal lobe,,,:Category:Sulcus,Sulcus
:Category:Postcommissural fornix,,Postcommissural fornix,birnlex_914,,,,,,,":Category:Hypothalamus,:Category:White matter",,,:Category:Regional part of brain,Regional part of brain
:Category:Posterior calcarine sulcus,,Posterior calcarine sulcus,birnlex_4015,,,,"posterior calcarine fissure,Sulcus calcarinus posterior,posterior part of calcarine sulcus",,,,,,:Category:Superficial feature part of occipital lobe,Superficial feature part of occipital lobe
:Category:Posterior cingulate cortex,,Posterior cingulate cortex,birnlex_950,Component of the cingulate cortex. The rostral and caudal extent were the caudal anterior and the isthmus divisions of the cingulate cortex respectively. The medial and lateral boundaries were the corpus callosum and as the superior frontal gyrus and/or paracentral lobule respectively (Christine Fennema-Notestine).,,,,,,:Category:Cingulate cortex,,,:Category:Regional part of brain,Regional part of brain
:Category:Posterior cingulate gyrus,,Posterior cingulate gyrus,birnlex_1546,,,,posterior cingulate gyrus,,,:Category:Cingulate gyrus,,,:Category:Regional part of brain,Regional part of brain
:Category:Posterior column of fornix,,Posterior column of fornix,birnlex_754,"Part of fornix adjacent to the fimbria comprising flattened bands of fibers that extend from the fimbria, running underneath the corpus callosum",,,"posterior crus of fornix,crus of fornix,posterior pillar of fornix",,,:Category:Fornix,,,:Category:Regional part of brain,Regional part of brain
:Category:Posterior commissure,,Posterior commissure,birnlex_1026,,,,epithalamic commissure,,,":Category:Midbrain tectum,:Category:White matter",,,:Category:Commissure,Commissure
:Category:Posterior funiculus,,Posterior funiculus,UBERON:0002258,,,,dorsal funiculus,,,:Category:Spinal cord white matter,,,:Category:Funiculi,Funiculi
:Category:Posterior horn lateral ventricle,,Posterior horn lateral ventricle,birnlex_1297,Part of the lateral ventricle that extends posteriorly into the occipital lobe.,,,"occipital horn,posterior horn of the lateral ventricle",,,:Category:Lateral ventricle,,,:Category:Regional part of brain,Regional part of brain
:Category:Posterior hypothalamic region,,Posterior hypothalamic region,birnlex_1651,,,,Posterior hypothalamus,,,:Category:Hypothalamus,,,:Category:Regional part of brain,Regional part of brain
:Category:Posterior limb of internal capsule,,Posterior limb of internal capsule,nlx_144258,"Portion of internal capsule lying between the globus pallidus and the thalamus (Nolte, The Human Brain, 6th ed., 2009, pg 409, modified by MM)",,,,:Category:Primate,,,,,:Category:Regional part of brain,Regional part of brain
:Category:Posterior lobe of the cerebellum,,Posterior lobe of the cerebellum,birnlex_911,,,,"cerebrocerebellum,pontocerebellum,Lobus caudalis cerebelli,Lobus posterior cerebelli,Neocerebellum",,,:Category:Cerebellum,,,:Category:Lobe parts of the cerebellar cortex,Lobe parts of the cerebellar cortex
:Category:Posterior median eminence,,Posterior median eminence,birnlex_1280,,,,,,,:Category:Median eminence,,,:Category:Regional part of brain,Regional part of brain
:Category:Posterior median sulcus,,Posterior median sulcus,nlx_152095,diminishes considerably in lower spinal cord,,,Posterior median sulcus of spinal cord,,,:Category:Spinal cord,,,:Category:Sulcus,Sulcus
:Category:Posterior middle temporal sulcus,,Posterior middle temporal sulcus,birnlex_1017,,,,,:Category:Macaque,:Category:Posterior middle temporal sulcus of PHT00,:Category:Temporal lobe,,,:Category:Sulcus,Sulcus
:Category:Posterior nuclear complex,,Posterior nuclear complex,birnlex_1467,"Part of thalamus comprising ill defined cellular groups in the caudal thalamus at the meso-diencephalic junction.  It is not a homogeneous structure but consists of several distinct cellular groups, including the suprageniculate and limitans nuclei, the magnocellular division of the medial geniculate body, portions of the pulvinar nucleus and an area of mixed cell types intercalated between the ventroposterior nucleus and the nucleus lateral posterior (Brodal, Neurological Anatomy, 3rd ed., 1981, pg 97)",,,"posterior thalamic nuclear group,nuclei posteriores thalami,posterior nuclear complex of thalamus,posterior complex of thalamus",,,:Category:Thalamus,,,:Category:Regional part of brain,Regional part of brain
:Category:Posterior nucleus of hypothalamus,,Posterior nucleus of hypothalamus,birnlex_1463,,,,"posterior hypothalamic area,Posterior hypothalamus",,,:Category:Posterior hypothalamic region,,,:Category:Regional part of brain,Regional part of brain
:Category:Posterior nucleus of thalamus,,Posterior nucleus of thalamus,birnlex_939,,,,nucleus posterior thalami,,,:Category:Posterior nuclear complex,,,:Category:Regional part of brain,Regional part of brain
:Category:Posterior orbital gyrus,,Posterior orbital gyrus,birnlex_1054,,,,,,,:Category:Orbital gyri complex,,,:Category:Regional part of brain,Regional part of brain
:Category:Posterior parahippocampal gyrus,,Posterior parahippocampal gyrus,birnlex_1295,,,,parahippocampal gyrus (Insausti),,,:Category:Parahippocampal gyrus,,,:Category:Regional part of brain,Regional part of brain
:Category:Posterior parolfactory sulcus,,Posterior parolfactory sulcus,birnlex_4043,,,,"Paraolfactory sulci,Sulcus parolfactorius posterior,Set of paraolfactory sulci,paraolfactory sulcus",,,,,,:Category:Sulcus,Sulcus
:Category:Posterior part of anterior commissure,,Posterior part of anterior commissure,birnlex_977,"The main part of the anterior commissure, distinct from the anterior olfactory part, that interconnects the temporal lobes. (Maryann Martone)",,,,,,:Category:Anterior commissure,,,:Category:Regional part of brain,Regional part of brain
:Category:Posterior periventricular nucleus,,Posterior periventricular nucleus,birnlex_1466,,,,"posterior periventricular nucleus of hypothalamus,posterior periventricular hypothalamic nucleus",,,:Category:Posterior hypothalamic region,,,:Category:Regional part of brain,Regional part of brain
:Category:Posterior pirifirom cortex,,Posterior pirifirom cortex,nlx_152608,,,,,,,:Category:Prepyriform area,,,:Category:Regional part of brain,Regional part of brain
:Category:Posterior spinocerebellar tract,,Posterior spinocerebellar tract,birnlex_1585,"Nerve tract that ascends in the dorsal part of the lateral funiculus and enters the cerebellum via the restiform body.  Within the cerebellum, its axons terminate in the ipsilateral hindlimb area of the anterior lobe and in the pyramis and the paramedian lobule predominantly ipsilaterally.  Rostrally, it extends to lobules I and II. Afferents from the upper trunk, forelimbs, and the neck to the cerebellum.",,,"Dorsal spinocerebellar tract,Flechsig's tract",,,:Category:Spinocerebellar tract,,,:Category:Nerve tract,Nerve tract
:Category:Posterior superior fIssure,,Posterior superior fIssure,nlx_anat_20081254,Fissure between cerebellar lobules VI and VII.,,,"Fissura Superior Posterior,Superior Posterior Fissure",,,:Category:Cerebellum,,,:Category:Sulcus,Sulcus
:Category:Posterior superior frontal sulcus,,Posterior superior frontal sulcus,birnlex_1130,,,,,,,:Category:Superior frontal sulcus,,,:Category:Sulcus,Sulcus
:Category:Posterior thalamic region,,Posterior thalamic region,nlx_15105,,,,Posterior thalamus,,,,,,:Category:Regional part of brain,Regional part of brain
:Category:Posterior transverse temporal gyrus,,Posterior transverse temporal gyrus,birnlex_1661,,,,posterior transverse convolution of Heschl,:Category:Human,,:Category:Temporal lobe,,,:Category:Regional part of brain,Regional part of brain
:Category:Posterodorsal nucleus of medial geniculate body,,Posterodorsal nucleus of medial geniculate body,birnlex_1622,,,,"nucleus corporis geniculati medialis,posterodorsal nucleus of medial geniculate complex,pars posterodorsalis",,,:Category:Medial geniculate body,,,:Category:Regional part of brain,Regional part of brain
:Category:Posterolateral fissure,,Posterolateral fissure,nlx_anat_20081259,Fissure between cerebellar lobules IX and X.,,,,,,,,,:Category:Superficial feature part of the cerebellum,Superficial feature part of the cerebellum
:Category:Posteroventral cochlear nucleus,,Posteroventral cochlear nucleus,birnlex_2573,,,,"posterior part of anterior cochlear nucleus,posterior ventral cochlear nucleus",,,:Category:Ventral cochlear nucleus,,,:Category:Regional part of brain,Regional part of brain
:Category:Postsubiculum,,Postsubiculum,nlx_144245,"Division of subicular cortex characterized by projections from the anterodorsal thalamic nucleus and to a lesser extent the anteroventral nucleus, bordered ventrally and laterally by the presubiculum and dorsally and medially by the retrosplenial granular a cortex..  The border is characterized by an abrupt change in the cyto- and chemoarchitecture",,,Postsubicular cortex,:Category:Rat,,:Category:Subicular complex,,,:Category:Regional part of brain,Regional part of brain
:Category:PreBotzinger complex,,PreBotzinger complex,nlx_152600,"Group of neurons in the ventral medulla, just caudal to the retrofacial nucleus,  believed to be involved in respiratory rhythmogenesis",,,,,,:Category:Medulla oblongata,,:Category:Respiration,:Category:Regional part of brain,Regional part of brain
